minute_of_day,irradiance(W/m^2),voltage(V),current(A),power(W)
72,0.0,18.54,0.0,0.0
73,0.0,18.54,0.0,0.0
74,0.0,18.54,0.0,0.0
75,5.14,18.56,0.001,0.03
76,0.0,18.54,0.0,0.0
77,0.0,18.54,0.0,0.0
78,0.0,18.54,0.0,0.0
79,6.21,18.56,0.002,0.03
80,0.0,18.54,0.0,0.0
81,3.36,18.55,0.001,0.02
82,0.0,18.54,0.0,0.0
83,0.0,18.54,0.0,0.0
84,1.09,18.54,0.0,0.01
85,0.0,18.54,0.0,0.0
86,0.0,18.54,0.0,0.0
87,9.27,18.57,0.003,0.05
88,9.18,18.57,0.003,0.05
89,11.43,18.58,0.003,0.06
90,5.18,18.56,0.002,0.03
91,0.0,18.54,0.0,0.0
92,0.0,18.54,0.0,0.0
93,0.0,18.54,0.0,0.0
94,0.38,18.54,0.0,0.0
95,0.0,18.54,0.0,0.0
96,0.0,18.54,0.0,0.0
97,2.32,18.55,0.001,0.01
98,11.05,18.58,0.003,0.06
99,5.14,18.56,0.001,0.03
100,0.0,18.54,0.0,0.0
101,10.11,18.58,0.003,0.05
102,4.88,18.56,0.001,0.03
103,4.59,18.56,0.001,0.02
104,0.0,18.54,0.0,0.0
105,0.0,18.54,0.0,0.0
106,14.3,18.59,0.004,0.08
107,16.95,18.6,0.005,0.09
108,12.14,18.58,0.004,0.07
109,0.0,18.54,0.0,0.0
110,10.29,18.58,0.003,0.06
111,0.0,18.54,0.0,0.0
112,7.01,18.57,0.002,0.04
113,28.36,18.64,0.008,0.15
114,0.0,18.54,0.0,0.0
115,24.02,18.63,0.007,0.13
116,11.19,18.58,0.003,0.06
117,0.0,18.54,0.0,0.0
118,0.4,18.54,0.0,0.0
119,6.08,18.56,0.002,0.03
120,3.02,18.55,0.001,0.02
121,4.51,18.56,0.001,0.02
122,0.0,18.54,0.0,0.0
123,6.32,18.56,0.002,0.03
124,10.39,18.58,0.003,0.06
125,16.58,18.6,0.005,0.09
126,0.0,18.54,0.0,0.0
127,13.48,18.59,0.004,0.07
128,8.54,18.57,0.002,0.05
129,0.0,18.54,0.0,0.0
130,8.19,18.57,0.002,0.04
131,0.0,18.54,0.0,0.0
132,8.0,18.57,0.002,0.04
133,2.14,18.55,0.001,0.01
134,0.0,18.54,0.0,0.0
135,14.64,18.59,0.004,0.08
136,6.52,18.56,0.002,0.04
137,0.0,18.54,0.0,0.0
138,7.79,18.57,0.002,0.04
139,1.65,18.55,0.0,0.01
140,8.84,18.57,0.003,0.05
141,19.31,18.61,0.006,0.1
142,17.23,18.6,0.005,0.09
143,0.0,18.54,0.0,0.0
144,18.95,18.61,0.005,0.1
145,5.22,18.56,0.002,0.03
146,0.0,18.54,0.0,0.0
147,16.58,18.6,0.005,0.09
148,0.0,18.54,0.0,0.0
149,2.06,18.55,0.001,0.01
150,4.95,18.56,0.001,0.03
151,0.0,18.54,0.0,0.0
152,6.33,18.56,0.002,0.03
153,0.0,18.54,0.0,0.0
154,0.0,18.54,0.0,0.0
155,10.45,18.58,0.003,0.06
156,19.9,18.61,0.006,0.11
157,11.08,18.58,0.003,0.06
158,0.0,18.54,0.0,0.0
159,0.0,18.54,0.0,0.0
160,30.68,18.65,0.009,0.17
161,0.0,18.54,0.0,0.0
162,11.35,18.58,0.003,0.06
163,16.66,18.6,0.005,0.09
164,11.34,18.58,0.003,0.06
165,3.88,18.55,0.001,0.02
166,11.7,18.58,0.003,0.06
167,20.39,18.61,0.006,0.11
168,0.0,18.54,0.0,0.0
169,6.72,18.56,0.002,0.04
170,0.0,18.54,0.0,0.0
171,8.21,18.57,0.002,0.04
172,9.95,18.58,0.003,0.05
173,25.53,18.63,0.007,0.14
174,6.49,18.56,0.002,0.03
175,0.0,18.54,0.0,0.0
176,8.31,18.57,0.002,0.04
177,1.25,18.54,0.0,0.01
178,13.14,18.59,0.004,0.07
179,2.69,18.55,0.001,0.01
180,0.0,18.54,0.0,0.0
181,8.66,18.57,0.003,0.05
182,36.61,18.67,0.011,0.2
183,9.86,18.58,0.003,0.05
184,22.75,18.62,0.007,0.12
185,1.32,18.54,0.0,0.01
186,5.62,18.56,0.002,0.03
187,22.15,18.62,0.006,0.12
188,1.39,18.55,0.0,0.01
189,12.14,18.58,0.004,0.07
190,19.63,18.61,0.006,0.11
191,19.35,18.61,0.006,0.1
192,15.82,18.6,0.005,0.09
193,6.64,18.56,0.002,0.04
194,6.7,18.56,0.002,0.04
195,1.56,18.55,0.0,0.01
196,16.66,18.6,0.005,0.09
197,27.29,18.64,0.008,0.15
198,13.7,18.59,0.004,0.07
199,0.0,18.54,0.0,0.0
200,14.1,18.59,0.004,0.08
201,12.51,18.59,0.004,0.07
202,19.18,18.61,0.006,0.1
203,20.92,18.62,0.006,0.11
204,24.47,18.63,0.007,0.13
205,3.68,18.55,0.001,0.02
206,6.81,18.56,0.002,0.04
207,26.25,18.64,0.008,0.14
208,7.55,18.57,0.002,0.04
209,22.42,18.62,0.007,0.12
210,23.96,18.63,0.007,0.13
211,8.14,18.57,0.002,0.04
212,0.0,18.54,0.0,0.0
213,10.98,18.58,0.003,0.06
214,33.05,18.66,0.01,0.18
215,4.94,18.56,0.001,0.03
216,22.69,18.62,0.007,0.12
217,0.0,18.54,0.0,0.0
218,8.67,18.57,0.003,0.05
219,18.71,18.61,0.005,0.1
220,14.42,18.59,0.004,0.08
221,11.64,18.58,0.003,0.06
222,17.3,18.6,0.005,0.09
223,34.45,18.67,0.01,0.19
224,28.2,18.64,0.008,0.15
225,16.51,18.6,0.005,0.09
226,12.16,18.58,0.004,0.07
227,9.79,18.58,0.003,0.05
228,34.21,18.67,0.01,0.19
229,5.09,18.56,0.001,0.03
230,11.95,18.58,0.003,0.06
231,26.56,18.64,0.008,0.14
232,22.23,18.62,0.006,0.12
233,28.85,18.65,0.008,0.16
234,16.07,18.6,0.005,0.09
235,22.86,18.62,0.007,0.12
236,37.9,18.68,0.011,0.21
237,14.39,18.59,0.004,0.08
238,28.08,18.64,0.008,0.15
239,19.63,18.61,0.006,0.11
240,34.57,18.67,0.01,0.19
241,29.14,18.65,0.008,0.16
242,19.55,18.61,0.006,0.11
243,20.51,18.62,0.006,0.11
244,37.81,18.68,0.011,0.2
245,29.12,18.65,0.008,0.16
246,40.47,18.69,0.012,0.22
247,24.94,18.63,0.007,0.13
248,40.55,18.69,0.012,0.22
249,20.25,18.61,0.006,0.11
250,39.05,18.68,0.011,0.21
251,40.2,18.69,0.012,0.22
252,56.84,18.75,0.016,0.31
253,28.75,18.65,0.008,0.16
254,53.13,18.73,0.015,0.29
255,24.39,18.63,0.007,0.13
256,34.55,18.67,0.01,0.19
257,21.55,18.62,0.006,0.12
258,45.98,18.71,0.013,0.25
259,24.66,18.63,0.007,0.13
260,36.66,18.67,0.011,0.2
261,54.5,18.74,0.016,0.3
262,41.28,18.69,0.012,0.22
263,53.71,18.74,0.016,0.29
264,42.2,18.69,0.012,0.23
265,70.49,18.8,0.02,0.38
266,47.62,18.71,0.014,0.26
267,49.46,18.72,0.014,0.27
268,38.72,18.68,0.011,0.21
269,32.4,18.66,0.009,0.18
270,43.77,18.7,0.013,0.24
271,59.15,18.76,0.017,0.32
272,37.54,18.68,0.011,0.2
273,33.05,18.66,0.01,0.18
274,36.04,18.67,0.01,0.2
275,61.43,18.76,0.018,0.33
276,68.84,18.79,0.02,0.38
277,41.1,18.69,0.012,0.22
278,58.95,18.76,0.017,0.32
279,42.67,18.7,0.012,0.23
280,51.62,18.73,0.015,0.28
281,65.02,18.78,0.019,0.35
282,58.25,18.75,0.017,0.32
283,33.81,18.66,0.01,0.18
284,48.35,18.72,0.014,0.26
285,58.43,18.75,0.017,0.32
286,59.97,18.76,0.017,0.33
287,60.65,18.76,0.018,0.33
288,71.99,18.8,0.021,0.39
289,38.27,18.68,0.011,0.21
290,55.24,18.74,0.016,0.3
291,41.67,18.69,0.012,0.23
292,68.61,18.79,0.02,0.37
293,63.28,18.77,0.018,0.34
294,66.4,18.78,0.019,0.36
295,76.06,18.82,0.022,0.42
296,67.81,18.79,0.02,0.37
297,60.76,18.76,0.018,0.33
298,59.67,18.76,0.017,0.32
299,66.27,18.78,0.019,0.36
300,66.68,18.78,0.019,0.36
301,48.95,18.72,0.014,0.27
302,81.82,18.84,0.024,0.45
303,61.19,18.76,0.018,0.33
304,85.55,18.85,0.025,0.47
305,81.38,18.84,0.024,0.44
306,67.72,18.79,0.02,0.37
307,77.65,18.82,0.023,0.42
308,48.26,18.72,0.014,0.26
309,78.25,18.83,0.023,0.43
310,74.35,18.81,0.022,0.41
311,39.39,18.68,0.011,0.21
312,92.71,18.88,0.027,0.51
313,79.93,18.83,0.023,0.44
314,78.5,18.83,0.023,0.43
315,90.08,18.87,0.026,0.49
316,89.14,18.87,0.026,0.49
317,84.35,18.85,0.024,0.46
318,83.88,18.85,0.024,0.46
319,72.3,18.8,0.021,0.39
320,83.03,18.84,0.024,0.45
321,79.22,18.83,0.023,0.43
322,106.15,18.93,0.031,0.58
323,72.82,18.81,0.021,0.4
324,96.83,18.89,0.028,0.53
325,86.53,18.86,0.025,0.47
326,87.19,18.86,0.025,0.48
327,104.8,18.92,0.03,0.58
328,98.68,18.9,0.029,0.54
329,95.52,18.89,0.028,0.52
330,132.05,19.02,0.038,0.73
331,101.07,18.91,0.029,0.55
332,106.43,18.93,0.031,0.58
333,108.34,18.94,0.031,0.59
334,86.01,18.85,0.025,0.47
335,116.31,18.97,0.034,0.64
336,118.64,18.97,0.034,0.65
337,105.67,18.93,0.031,0.58
338,81.59,18.84,0.024,0.45
339,104.34,18.92,0.03,0.57
340,103.32,18.92,0.03,0.57
341,103.15,18.92,0.03,0.57
342,96.67,18.89,0.028,0.53
343,118.44,18.97,0.034,0.65
344,104.97,18.92,0.03,0.58
345,125.79,19.0,0.036,0.69
346,133.4,19.03,0.039,0.74
347,113.97,18.96,0.033,0.63
348,128.05,19.01,0.037,0.71
349,127.17,19.01,0.037,0.7
350,110.75,18.95,0.032,0.61
351,149.55,19.09,0.043,0.83
352,119.25,18.98,0.035,0.66
353,102.61,18.92,0.03,0.56
354,125.04,19.0,0.036,0.69
355,111.5,18.95,0.032,0.61
356,114.46,18.96,0.033,0.63
357,132.71,19.03,0.038,0.73
358,125.62,19.0,0.036,0.69
359,138.91,19.05,0.04,0.77
360,142.14,19.06,0.041,0.79
361,136.67,19.04,0.04,0.75
362,133.45,19.03,0.039,0.74
363,139.98,19.05,0.041,0.77
364,136.97,19.04,0.04,0.76
365,130.0,19.02,0.038,0.72
366,146.06,19.07,0.042,0.81
367,144.2,19.07,0.042,0.8
368,153.42,19.1,0.044,0.85
369,147.51,19.08,0.043,0.82
370,152.51,19.1,0.044,0.84
371,154.02,19.1,0.045,0.85
372,174.59,19.18,0.051,0.97
373,165.66,19.15,0.048,0.92
374,160.57,19.13,0.047,0.89
375,163.12,19.14,0.047,0.91
376,154.3,19.1,0.045,0.85
377,138.77,19.05,0.04,0.77
378,149.59,19.09,0.043,0.83
379,161.31,19.13,0.047,0.89
380,174.0,19.18,0.05,0.97
381,164.05,19.14,0.048,0.91
382,177.3,19.19,0.051,0.99
383,184.75,19.22,0.054,1.03
384,167.59,19.15,0.049,0.93
385,165.61,19.15,0.048,0.92
386,167.43,19.15,0.049,0.93
387,179.06,19.2,0.052,1.0
388,185.57,19.22,0.054,1.03
389,189.24,19.23,0.055,1.06
390,192.96,19.25,0.056,1.08
391,194.28,19.25,0.056,1.08
392,173.45,19.17,0.05,0.96
393,191.09,19.24,0.055,1.07
394,199.26,19.27,0.058,1.11
395,194.83,19.25,0.057,1.09
396,195.85,19.26,0.057,1.09
397,215.4,19.33,0.062,1.21
398,206.46,19.3,0.06,1.16
399,215.09,19.33,0.062,1.21
400,200.1,19.27,0.058,1.12
401,199.61,19.27,0.058,1.12
402,206.83,19.3,0.06,1.16
403,217.81,19.34,0.063,1.22
404,214.86,19.33,0.062,1.2
405,215.54,19.33,0.063,1.21
406,205.38,19.29,0.06,1.15
407,218.12,19.34,0.063,1.22
408,219.27,19.34,0.064,1.23
409,224.71,19.36,0.065,1.26
410,213.67,19.32,0.062,1.2
411,231.85,19.39,0.067,1.3
412,232.42,19.39,0.067,1.31
413,245.13,19.44,0.071,1.38
414,212.4,19.32,0.062,1.19
415,249.53,19.45,0.072,1.41
416,237.31,19.41,0.069,1.34
417,245.5,19.44,0.071,1.38
418,267.83,19.52,0.078,1.52
419,231.39,19.39,0.067,1.3
420,254.46,19.47,0.074,1.44
421,249.01,19.45,0.072,1.4
422,255.67,19.48,0.074,1.44
423,252.04,19.46,0.073,1.42
424,251.83,19.46,0.073,1.42
425,268.02,19.52,0.078,1.52
426,262.3,19.5,0.076,1.48
427,270.87,19.53,0.079,1.53
428,254.97,19.47,0.074,1.44
429,278.01,19.56,0.081,1.58
430,266.91,19.52,0.077,1.51
431,267.95,19.52,0.078,1.52
432,275.04,19.55,0.08,1.56
433,276.31,19.55,0.08,1.57
434,275.47,19.55,0.08,1.56
435,289.22,19.6,0.084,1.64
436,298.15,19.63,0.086,1.7
437,276.02,19.55,0.08,1.56
438,305.23,19.66,0.089,1.74
439,285.11,19.58,0.083,1.62
440,295.27,19.62,0.086,1.68
441,312.4,19.68,0.091,1.78
442,300.51,19.64,0.087,1.71
443,304.03,19.65,0.088,1.73
444,317.6,19.7,0.092,1.81
445,324.01,19.73,0.094,1.85
446,318.22,19.7,0.092,1.82
447,310.91,19.68,0.09,1.77
448,312.72,19.68,0.091,1.79
449,317.89,19.7,0.092,1.82
450,314.12,19.69,0.091,1.79
451,321.16,19.72,0.093,1.84
452,333.7,19.76,0.097,1.91
453,325.35,19.73,0.094,1.86
454,355.22,19.84,0.103,2.04
455,331.65,19.75,0.096,1.9
456,345.1,19.8,0.1,1.98
457,334.31,19.76,0.097,1.92
458,355.23,19.84,0.103,2.04
459,352.45,19.83,0.102,2.03
460,367.74,19.89,0.107,2.12
461,348.62,19.82,0.101,2.0
462,362.52,19.87,0.105,2.09
463,351.7,19.83,0.102,2.02
464,358.43,19.85,0.104,2.06
465,359.32,19.86,0.104,2.07
466,373.11,19.91,0.108,2.15
467,380.49,19.93,0.11,2.2
468,384.87,19.95,0.112,2.23
469,386.0,19.95,0.112,2.23
470,383.09,19.94,0.111,2.22
471,382.4,19.94,0.111,2.21
472,395.19,19.99,0.115,2.29
473,378.77,19.93,0.11,2.19
474,398.3,20.0,0.116,2.31
475,394.95,19.99,0.115,2.29
476,390.61,19.97,0.113,2.26
477,406.45,20.03,0.118,2.36
478,391.99,19.97,0.114,2.27
479,406.85,20.03,0.118,2.36
480,405.38,20.02,0.118,2.35
481,410.96,20.04,0.119,2.39
482,409.6,20.04,0.119,2.38
483,424.49,20.09,0.123,2.47
484,418.47,20.07,0.121,2.44
485,448.31,20.18,0.13,2.62
486,414.58,20.06,0.12,2.41
487,408.3,20.03,0.118,2.37
488,444.57,20.17,0.129,2.6
489,429.85,20.11,0.125,2.51
490,445.35,20.17,0.129,2.6
491,432.13,20.12,0.125,2.52
492,438.72,20.15,0.127,2.56
493,449.34,20.18,0.13,2.63
494,445.92,20.17,0.129,2.61
495,453.23,20.2,0.131,2.65
496,472.76,20.27,0.137,2.78
497,458.89,20.22,0.133,2.69
498,479.7,20.3,0.139,2.82
499,479.54,20.3,0.139,2.82
500,445.25,20.17,0.129,2.6
501,490.56,20.34,0.142,2.89
502,499.78,20.37,0.145,2.95
503,475.92,20.28,0.138,2.8
504,478.96,20.29,0.139,2.82
505,476.73,20.28,0.138,2.8
506,499.21,20.37,0.145,2.95
507,482.8,20.31,0.14,2.84
508,486.29,20.32,0.141,2.87
509,505.68,20.39,0.147,2.99
510,506.49,20.39,0.147,3.0
511,520.72,20.45,0.151,3.09
512,525.69,20.46,0.152,3.12
513,518.77,20.44,0.15,3.07
514,500.63,20.37,0.145,2.96
515,505.5,20.39,0.147,2.99
516,531.81,20.49,0.154,3.16
517,534.32,20.5,0.155,3.18
518,524.55,20.46,0.152,3.11
519,529.53,20.48,0.154,3.14
520,548.05,20.55,0.159,3.27
521,536.64,20.5,0.156,3.19
522,550.38,20.55,0.16,3.28
523,557.26,20.58,0.162,3.33
524,568.29,20.62,0.165,3.4
525,555.39,20.57,0.161,3.31
526,574.56,20.64,0.167,3.44
527,571.1,20.63,0.166,3.42
528,569.54,20.62,0.165,3.41
529,564.35,20.61,0.164,3.37
530,585.08,20.68,0.17,3.51
531,576.71,20.65,0.167,3.45
532,573.7,20.64,0.166,3.43
533,615.09,20.79,0.178,3.71
534,573.98,20.64,0.166,3.44
535,598.59,20.73,0.174,3.6
536,582.2,20.67,0.169,3.49
537,597.07,20.73,0.173,3.59
538,599.99,20.74,0.174,3.61
539,598.43,20.73,0.174,3.6
540,597.74,20.73,0.173,3.59
541,608.01,20.77,0.176,3.66
542,615.41,20.79,0.178,3.71
543,613.38,20.78,0.178,3.7
544,599.22,20.73,0.174,3.6
545,635.97,20.87,0.184,3.85
546,631.08,20.85,0.183,3.82
547,630.79,20.85,0.183,3.81
548,653.74,20.93,0.19,3.97
549,610.86,20.78,0.177,3.68
550,643.65,20.9,0.187,3.9
551,646.19,20.91,0.187,3.92
552,653.23,20.93,0.189,3.97
553,650.61,20.92,0.189,3.95
554,659.17,20.95,0.191,4.01
555,651.1,20.92,0.189,3.95
556,661.75,20.96,0.192,4.02
557,650.11,20.92,0.189,3.94
558,663.02,20.97,0.192,4.03
559,653.69,20.93,0.19,3.97
560,700.12,21.1,0.203,4.28
561,664.8,20.97,0.193,4.04
562,692.26,21.07,0.201,4.23
563,666.27,20.98,0.193,4.05
564,682.46,21.04,0.198,4.16
565,694.4,21.08,0.201,4.25
566,688.67,21.06,0.2,4.21
567,700.04,21.1,0.203,4.28
568,705.48,21.12,0.205,4.32
569,700.72,21.1,0.203,4.29
570,711.32,21.14,0.206,4.36
571,699.16,21.1,0.203,4.28
572,725.79,21.2,0.21,4.46
573,704.42,21.12,0.204,4.31
574,710.93,21.14,0.206,4.36
575,727.66,21.2,0.211,4.47
576,728.44,21.21,0.211,4.48
577,728.79,21.21,0.211,4.48
578,749.05,21.28,0.217,4.62
579,739.64,21.25,0.214,4.56
580,741.28,21.25,0.215,4.57
581,725.43,21.2,0.21,4.46
582,754.45,21.3,0.219,4.66
583,762.56,21.33,0.221,4.72
584,752.11,21.29,0.218,4.64
585,753.96,21.3,0.219,4.66
586,768.35,21.35,0.223,4.76
587,749.84,21.28,0.217,4.63
588,754.04,21.3,0.219,4.66
589,774.34,21.37,0.225,4.8
590,763.99,21.34,0.222,4.73
591,768.54,21.35,0.223,4.76
592,764.95,21.34,0.222,4.73
593,769.93,21.36,0.223,4.77
594,773.8,21.37,0.224,4.8
595,798.24,21.46,0.231,4.97
596,787.13,21.42,0.228,4.89
597,803.41,21.48,0.233,5.0
598,799.28,21.47,0.232,4.98
599,806.02,21.49,0.234,5.02
600,808.92,21.5,0.235,5.04
601,808.47,21.5,0.234,5.04
602,787.31,21.42,0.228,4.89
603,824.82,21.56,0.239,5.16
604,804.42,21.48,0.233,5.01
605,817.17,21.53,0.237,5.1
606,819.05,21.54,0.238,5.12
607,833.24,21.59,0.242,5.22
608,837.99,21.61,0.243,5.25
609,830.02,21.58,0.241,5.19
610,839.67,21.61,0.244,5.26
611,832.58,21.59,0.241,5.21
612,824.5,21.56,0.239,5.15
613,840.01,21.61,0.244,5.27
614,830.15,21.58,0.241,5.19
615,857.7,21.68,0.249,5.39
616,847.46,21.64,0.246,5.32
617,860.89,21.69,0.25,5.42
618,845.88,21.64,0.245,5.31
619,846.13,21.64,0.245,5.31
620,852.41,21.66,0.247,5.35
621,854.14,21.67,0.248,5.37
622,877.83,21.75,0.255,5.54
623,882.88,21.77,0.256,5.57
624,842.91,21.63,0.244,5.29
625,871.58,21.73,0.253,5.49
626,858.32,21.68,0.249,5.4
627,883.37,21.77,0.256,5.58
628,886.96,21.79,0.257,5.6
629,886.8,21.79,0.257,5.6
630,881.37,21.77,0.256,5.56
631,895.73,21.82,0.26,5.67
632,873.25,21.74,0.253,5.5
633,867.83,21.72,0.252,5.47
634,868.45,21.72,0.252,5.47
635,906.4,21.86,0.263,5.75
636,885.64,21.78,0.257,5.59
637,902.26,21.84,0.262,5.72
638,894.73,21.81,0.259,5.66
639,896.54,21.82,0.26,5.67
640,912.14,21.88,0.265,5.79
641,915.63,21.89,0.266,5.81
642,896.06,21.82,0.26,5.67
643,912.41,21.88,0.265,5.79
644,897.84,21.83,0.26,5.68
645,900.5,21.84,0.261,5.7
646,905.77,21.86,0.263,5.74
647,915.07,21.89,0.265,5.81
648,927.84,21.94,0.269,5.9
649,923.8,21.92,0.268,5.87
650,926.6,21.93,0.269,5.89
651,942.61,21.99,0.273,6.01
652,916.45,21.89,0.266,5.82
653,936.35,21.97,0.272,5.96
654,951.31,22.02,0.276,6.08
655,948.67,22.01,0.275,6.06
656,955.91,22.04,0.277,6.11
657,933.46,21.96,0.271,5.94
658,951.73,22.02,0.276,6.08
659,944.27,22.0,0.274,6.02
660,929.52,21.94,0.27,5.91
661,948.03,22.01,0.275,6.05
662,963.81,22.07,0.28,6.17
663,947.18,22.01,0.275,6.04
664,959.47,22.05,0.278,6.14
665,947.61,22.01,0.275,6.05
666,965.09,22.07,0.28,6.18
667,945.61,22.0,0.274,6.03
668,965.17,22.07,0.28,6.18
669,958.52,22.05,0.278,6.13
670,954.7,22.03,0.277,6.1
671,963.34,22.07,0.279,6.16
672,961.45,22.06,0.279,6.15
673,967.29,22.08,0.281,6.19
674,967.33,22.08,0.281,6.19
675,972.56,22.1,0.282,6.23
676,960.57,22.06,0.279,6.14
677,968.93,22.09,0.281,6.21
678,985.32,22.15,0.286,6.33
679,966.48,22.08,0.28,6.19
680,972.35,22.1,0.282,6.23
681,975.36,22.11,0.283,6.25
682,970.12,22.09,0.281,6.21
683,979.28,22.12,0.284,6.28
684,988.42,22.16,0.287,6.35
685,976.65,22.11,0.283,6.26
686,995.27,22.18,0.289,6.4
687,1004.28,22.22,0.291,6.47
688,990.33,22.16,0.287,6.37
689,971.81,22.1,0.282,6.23
690,982.26,22.14,0.285,6.31
691,977.16,22.12,0.283,6.27
692,991.67,22.17,0.288,6.38
693,992.55,22.17,0.288,6.38
694,997.01,22.19,0.289,6.42
695,1007.39,22.23,0.292,6.49
696,980.19,22.13,0.284,6.29
697,988.91,22.16,0.287,6.35
698,992.25,22.17,0.288,6.38
699,990.18,22.16,0.287,6.36
700,997.61,22.19,0.289,6.42
701,1006.34,22.22,0.292,6.49
702,1006.83,22.22,0.292,6.49
703,990.31,22.16,0.287,6.37
704,973.97,22.1,0.282,6.24
705,992.55,22.17,0.288,6.38
706,1013.31,22.25,0.294,6.54
707,993.35,22.18,0.288,6.39
708,994.49,22.18,0.288,6.4
709,1023.79,22.29,0.297,6.62
710,998.32,22.19,0.29,6.43
711,1003.78,22.21,0.291,6.47
712,995.45,22.18,0.289,6.4
713,985.25,22.15,0.286,6.33
714,1022.7,22.28,0.297,6.61
715,991.49,22.17,0.288,6.37
716,993.03,22.17,0.288,6.39
717,1018.55,22.27,0.295,6.58
718,987.63,22.15,0.286,6.35
719,1002.33,22.21,0.291,6.46
720,994.59,22.18,0.288,6.4
721,988.27,22.16,0.287,6.35
722,1010.36,22.24,0.293,6.52
723,996.37,22.19,0.289,6.41
724,1005.41,22.22,0.292,6.48
725,994.34,22.18,0.288,6.4
726,992.9,22.17,0.288,6.38
727,998.13,22.19,0.289,6.42
728,1003.44,22.21,0.291,6.46
729,990.24,22.16,0.287,6.36
730,1008.99,22.23,0.293,6.51
731,994.48,22.18,0.288,6.4
732,986.16,22.15,0.286,6.33
733,1007.0,22.23,0.292,6.49
734,996.67,22.19,0.289,6.41
735,989.36,22.16,0.287,6.36
736,989.64,22.16,0.287,6.36
737,999.58,22.2,0.29,6.43
738,1002.22,22.21,0.291,6.45
739,979.05,22.12,0.284,6.28
740,1002.39,22.21,0.291,6.46
741,990.13,22.16,0.287,6.36
742,998.02,22.19,0.289,6.42
743,990.64,22.17,0.287,6.37
744,985.93,22.15,0.286,6.33
745,987.74,22.16,0.286,6.35
746,982.18,22.13,0.285,6.3
747,983.92,22.14,0.285,6.32
748,988.15,22.16,0.287,6.35
749,993.09,22.17,0.288,6.39
750,969.3,22.09,0.281,6.21
751,989.18,22.16,0.287,6.36
752,994.47,22.18,0.288,6.4
753,980.7,22.13,0.284,6.29
754,991.93,22.17,0.288,6.38
755,966.21,22.08,0.28,6.19
756,975.24,22.11,0.283,6.25
757,985.85,22.15,0.286,6.33
758,977.66,22.12,0.284,6.27
759,970.9,22.09,0.282,6.22
760,982.65,22.14,0.285,6.31
761,979.98,22.13,0.284,6.29
762,965.97,22.08,0.28,6.18
763,968.05,22.08,0.281,6.2
764,957.86,22.05,0.278,6.12
765,966.68,22.08,0.28,6.19
766,981.26,22.13,0.285,6.3
767,959.76,22.05,0.278,6.14
768,959.28,22.05,0.278,6.13
769,969.36,22.09,0.281,6.21
770,973.28,22.1,0.282,6.24
771,975.54,22.11,0.283,6.26
772,978.99,22.12,0.284,6.28
